Data,name,mobile,sentiment_score
,,,0.0
This path and there is no alternative.. 𓆪 🤍🕊,6594475443,2024-02-01 17:34:19+00:00,0.5
"Good news ♥️

“God bestows upon you a blessing that you have not attained by supplication, nor by a hidden good deed, nor by purification of one’s inner being. Rather, it is a beautiful and majestic gift from the Giver of beauty and majesty. You shiver ashamed of your Lord until your request for forgiveness overpowers your praise. Praise becomes repentance, gratitude becomes repentance, and regret becomes love.”",889839684,2024-02-01 17:32:45+00:00,0.5123456790123457
"**أبشروا بالخير ♥️
**
""يُنعمُ الله عليكَ بنعمةٍ ما كنتَ بالغها بالدعاء ولا بصالح خبيئة ولا بطهر سريرة، إنما هبة جميلة جليلة من الوهاب ذي الجمال والجلال. تقشعرُّ حياءً من ربّك حتى يغلب استغفارُك حمدَك. فيغدو الحمد توبة، والشكر إنابة، والندم حبًا.""",6932385416,2024-02-01 17:32:44+00:00,0.5
"Biden : The violence of extremist Israeli settlers has reached intolerable levels

_Settler violence in the West Bank undermines Israel's security and may destabilize regional stability, threatening American national security

But genocide is fine🤔? this hurts my brain                                                                                                  @ME_Corridors
@Al_Qassam_Toast",6594475443,2024-02-01 17:31:14+00:00,0.4444444444444444
"Don't say Indians. They are blind supporters of the Right wing hindutva political party. Most of them are anti-islam. 
They don't have a brain to think logically even educated people are supporting wrong doings of right-wing hindutva ideology against Muslims in India.",6119852672,2024-02-01 17:04:03+00:00,0.5104166666666666
Traces of torture are visible on the body of a Palestinian prisoner from Gaza who was detained by the occupation for weeks and released today.,6594475443,2024-02-01 16:54:32+00:00,0.46153846153846156
"If u have a good morning, the childs of gaza don't have a good morning .                                                                                 @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 16:47:31+00:00,0.5454545454545454
Hello everyone,6007779065,2024-02-01 16:46:45+00:00,0.5
OK,889839684,2024-02-01 16:42:58+00:00,0.5
Ок,1261815171,2024-02-01 16:42:57+00:00,0.5
What does this have to do with Palestine,6047192430,2024-02-01 16:42:32+00:00,0.5
,6047192430,2024-02-01 16:35:27+00:00,0.0
"**NAZIS ARE ZIONIST JEWS **🇩🇪
@ExposingZionist @SatanicJew",169657243,2024-02-01 16:27:50+00:00,0.5
Sarahr Full Support for Israel Sarahr Don't Insult India Sarahr,889839684,2024-02-01 16:20:19+00:00,0.5
Saarrr phull supporrrt for israel saarr dont insult India saarrrr,5218647078,2024-02-01 16:20:18+00:00,0.45
"Undoubtedly, a woman is valuable as long as she preserves her beauty for the integrity of her partner...",889839684,2024-02-01 16:16:15+00:00,0.55
"**Shubhasizki, ayol o'z go'zalligini jufti haloliga saqlagani qadar qiymatlidir...**",1261815171,2024-02-01 16:16:14+00:00,0.5
"Why do Indians keep embarrassing themselves?                                                                                                                                                             @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 15:54:47+00:00,0.45454545454545453
,6818056765,2024-02-01 15:50:52+00:00,0.0
,6818056765,2024-02-01 15:50:47+00:00,0.0
,6818056765,2024-02-01 15:50:47+00:00,0.0
,6818056765,2024-02-01 15:50:46+00:00,0.0
,6818056765,2024-02-01 15:50:45+00:00,0.0
,6818056765,2024-02-01 15:50:45+00:00,0.0
"🔴 Infographic | Excerpts from the speech of Commander Abdul-Malik Badr al-Din al-Houthi about the latest developments and developments, Rajab 21, 1445 AH, February 1, 2024 AD #Al-Haqiqah_Newspaper
https://t.me/alhagigahnet",889839684,2024-02-01 15:50:45+00:00,0.5
,6818056765,2024-02-01 15:50:44+00:00,0.0
,6818056765,2024-02-01 15:50:44+00:00,0.0
"🔴 إنفوجرافيك | مقتطفات من كلمة السيد القائد عبدالملك بدر الدين الحوثي حول أخر التطورات والمستجدات 21 رجب 1445هـ 01 فبراير2024م #صحيفة_الحقيقة
https://t.me/alhagigahnet",6818056765,2024-02-01 15:50:43+00:00,0.5
❤️❤️,6001766723,2024-02-01 15:34:49+00:00,0.5
Free free palestine,6001766723,2024-02-01 15:34:45+00:00,0.8333333333333334
"**NAZIS ARE ZIONIST JEWS **🇩🇪
@ExposingZionist @SatanicJew",169657243,2024-02-01 15:32:08+00:00,0.5
"[YÒLDOSHEVA QUNDUZ](tg://user?id=6455125946) [`6455125946`] used a banned word. 
**Action:** Muted 🔇",1331291118,2024-02-01 15:25:38+00:00,0.5
"To the American Navy Seals 🇺🇸🇮🇱🐖:

""Welcome to Atlantis 🐳🐳🔱""

Telegram Channel
t.me/westernhypocrisy/3431

Telegraph Page
telegra.ph/Resistance-Movement-Part-2-01-17",831409710,2024-02-01 15:25:00+00:00,0.5263157894736842
"A family makes pastries to earn their living in Gaza in light of the continuing Zionist aggression and siege on the Strip                                                                                                     @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 15:23:52+00:00,0.46153846153846156
"IDF is full of rapists.....                                                                                                   @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 15:13:08+00:00,0.5
"🚨⚡️ A new deadly disease 💀 !

This month, four people in Washington state tested positive for a rare fungal infection that can be fatal.

The outbreak comes as Candida auris continues to spread in the United States.
@ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 15:08:05+00:00,0.4666666666666667
"“Israeli army occupies Gaza homes – then burns them down” says Haaretz, an Israeli paper. It adds - orders came directly from IDF commanders, & the culture is widespread, involving 100s of buildings.                                                                                                                                                                  @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 15:07:07+00:00,0.48863636363636365
"t.me/wmclick_bot/click?startapp=1751754140
🍉 Join and build a watermelon empire with me!",889839684,2024-02-01 14:57:13+00:00,0.5
"t.me/wmclick_bot/click?startapp=1751754140
🍉 Присоединяйся и строй арбузную империю вместе со мной!",1751754140,2024-02-01 14:57:12+00:00,0.5
The Nazi’s destruction.,-1001950217998,2024-02-01 14:50:15+00:00,0.4166666666666667
"🚨🇶🇦🇪🇺 BREAKING: Qatar has said that they are temporarily STOPPING gas shipments to Europe.                                                                                                                            @ME_Corridors
@Al_Qassam_Toast",-1001950217998,2024-02-01 14:42:38+00:00,0.475
"While the people's property was being bulldozed...

The moment the Al-Qassam Brigades hit an occupation army bulldozer in “Al-Yassin 105” in Khan Yunis.",-1001950217998,2024-02-01 14:41:59+00:00,0.5
"#Yemeni armed forces threaten to cut Red Sea internet cable if the US-UK keep bombing their airports.                                                                                                                                              @Resistancetoast
@Al_Qassam_Toast",-1001950217998,2024-02-01 14:29:04+00:00,0.4782608695652174
"#Watch... Al-Qassam Mujahideen clash with enemy vehicles west of the city of Khan Yunis, south of the Gaza Strip",6594475443,2024-02-01 14:25:36+00:00,0.45454545454545453
